,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
38085,poetry.xls,14811582,|||,und,,,"Gibbon, Charles, 1843-1890.","Gibbon, Charles",,1843-1890,,,In Love and War. A romance. [electronic resource],In Love and War. A romance.,,eng,,"London, Beccles [printed], 1877.",London,1877.0,London Beccles,,,,,lsidyv3b5744cc -- lsidyv3b574c73 -- lsidyv392ddfba,romance,Prose,
44254,poetry.xls,14829197,|||,und,,,"SEARLE, Edis.","Searle, Edis",,,,,Easydale. A story. [electronic resource],Easydale. A story.,,eng,,"London, 1874.",London,1874.0,London,,,,,lsidyv3b3912db,story,Prose,
16823,nogenre.xlsx,14832208,|||,eng,,,"WILLIAMS, Thomas, of Llandudno.","Williams, Thomas, Of Llandudno",,,,,Williams's Complete Guide to Llandudno. The tenth thousand ... Illustrated. [electronic resource],Williams's Complete Guide to Llandudno. The tenth thousand... Illustrated.,,eng,,"Llandudno : Thomas Williams, [1864]",Llandudno,1864.0,Llandudno Thomas Williams,,,,,lsidyv2b329b6b,,,
14183,nogenre.xlsx,14826838,|||,und,,,,,,,,University of Oxford.,Oxford Commemoration. By a Fellow of Experientia. [electronic resource],Oxford Commemoration.,By a Fellow of Experientia.,eng,,"pp. 128. Simpkin, Marshall & Co.: London, 1888.",London,1888.0,Simpkin Marshall London,,,,,lsidyv3add21da,,,
35041,poetry.xls,14803724,|||,und,,,"AKERMAN, Portland Board, and HURST (Norman)","Akerman, Portland Board; Hurst, Norman",,,,,"Triscombe Stone: a romance of the Quantock Hills, etc. [electronic resource]","Triscombe Stone: a romance of the Quantock Hills, etc.",,eng,,"London : Bliss & Sands, 1897.",London,1897.0,London Bliss Sands,,,"HURST, Norman.",,lsidyv39e05c30,romance,Prose,
31203,nogenre.xlsx,15115826,|||,spa,,,"SILVA COSTA, José da.","Silva Costa, José Da",,,,,A Phase adventicia no Brazil. Estudo de sociologia. [electronic resource],A Phase adventicia no Brazil. Estudo de sociologia.,,spa,,"Rio de Janeiro, 1891.",Rio,1891.0,Rio Janeiro,,,,,lsidyv38bd6d94,,,
48246,poetry.xls,14919229,|||,mul,$afre$adut,,"HANGEST, D. M. M. d', Baron d'Yvoy van Mijdrecht.","Hangest, D. M. M. D'",Baron d'Yvoy van Mijdrecht,,,,"Frankrijks invloed op de buitenlandsche aangelegenheden der voormalige Nederlandsche Republiek, gestaafd door oorspronkelijke stukken uit de Archieven te Parijs. [electronic resource]","Frankrijks invloed op de buitenlandsche aangelegenheden der voormalige Nederlandsche Republiek, gestaafd door oorspronkelijke stukken uit de Archieven te Parijs.",,dut,,"Arnhem, 1858.",Arnhem,1858.0,Arnhem,,,,,lsidyv3847e165,elegy,Poetry,
17859,nogenre.xlsx,14840061,|||,fre,,,"G., Alexis M.","G., Alexis M",,,,,"Le Congo Belge illustré ... Par Alexis-M. G. [i.e. Jean Baptiste Gochet] ... Deuxième édition, augmentée, etc. [electronic resource]","Le Congo Belge illustré... Par Alexis-M. G.... Deuxième édition, augmentée, etc.",,fre,,"Liège, 1888.",Liége,1888.0,Liège,,,"GOCHET, Jean Baptiste.",,lsidyv35b95446,,,
26691,nogenre.xlsx,14885200,|||,eng,,,"CORNWALLIS, Fiennes.","Cornwallis, Fiennes",,,,,"Letters written from the Crimea to several members of his family, by the late Major Fiennes Cornwallis. Collected and edited by Mrs. Wykeham Martin. [electronic resource]","Letters written from the Crimea to several members of his family, by the late Major Fiennes Cornwallis. Collected and edited by Mrs. Wykeham Martin.",,eng,,"Privately printed, 1868.",Privately,1868.0,Privately,,,"MARTIN, Matilda Wykeham.",,lsidyv2b1c9289,,,
12113,nogenre.xlsx,14818042,|||,und,,,"MACKINNON, James.","Mackinnon, James",,,,,Braefoot Sketches. [electronic resource],Braefoot Sketches.,,eng,,"Paisley : A. Gardner, 1897.",,1897.0,Paisley Gardner,,,,,lsidyv39ffb179,,,
43940,poetry.xls,14828532,|||,und,,,"ROOFER, Roof, pseud. [i.e. Rufus Randell.]","Roofer, Roof",,,Rufus Randell,,Two Mothers of One. [A tale.] [electronic resource],Two Mothers of One.,,eng,,"London : Digby and Long, [1896.].",London,1896.0,London Digby Long,,,,,lsidyv309dedea,tale,Prose,
34921,poetry.xls,14784790,|||,eng,,,"PORTER, Josias Leslie.","Porter, Josias Leslie",,,,,Illustrations of Bible prophecy and history from personal travels in Palestine. [electronic resource],Illustrations of Bible prophecy and history from personal travels in Palestine.,,eng,,"Dublin : Hodges, Figgis & Co., 1883.",Dublin,1883.0,Dublin Hodges Figgis,,,,,lsidyv3c548685,story,Prose,
8778,nogenre.xlsx,14810380,|||,und,,,"FARJEON, Benjamin Leopold.","Farjeon, Benjamin Leopold",,,,,Toilers of Babylon. [electronic resource],Toilers of Babylon.,,eng,,"London : Ward & Downey, 1888.",London,1888.0,London Ward Downey,,,,,lsidyv3b3f07f3 -- lsidyv3b3f1547 -- lsidyv3b3f0ec6,,,
9153,nogenre.xlsx,14811324,|||,eng,,,"FURNISS, William, of New York.","Furniss, William, Of New York",,,,,"The land of the Cæsar and the Doge. Historical and artistic: incidental, personal, and literary. [electronic resource]","The land of the Cæsar and the Doge. Historical and artistic: incidental, personal, and literary.",,eng,,"New York, 1853.",New-York,1853.0,New-York,,,,,lsidyv3098afa3,,,
21133,nogenre.xlsx,14860869,|||,eng,,,"PATON, William Agnew.","Paton, William Agnew",,,,,Picturesque Sicily ... Illustrated. [electronic resource],Picturesque Sicily... Illustrated.,,eng,,"London & New York [printed] : Harper & Bros., 1898.",London,1898.0,London New-York Harper Bros,,,,,lsidyv3627e8b9,,,
24855,nogenre.xlsx,14872056,|||,ger,,,"JENSEN, Wilhelm Hermann.","Jensen, Wilhelm Hermann",,,,,"Der Schwarzwald ... Mit Illustrationen von W. Hasemann, etc. [electronic resource]","Der Schwarzwald... Mit Illustrationen von W. Hasemann, etc.",,ger,,"Berlin, 1890.",Berlin,1890.0,Berlin,,,"HASEMANN, W.",,lsidyv36d5bb5d,,,
45693,poetry.xls,14832687,|||,und,,,"Yonge, Charlotte Mary, 1823-1901","Yonge, Charlotte Mary",,1823-1901,,,More Bywords. [Tales and poems.] [electronic resource],More Bywords.,,eng,,"London : Macmillan & Co., 1890.",London,1890.0,London Macmillan,,,,,lsidyv3a94f65e,poet,Poetry,
