,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
25667,nogenre.xlsx,14873086,|||,swe,,,"WARHOLM, Johan Wilhelm.","Warholm, Johan Wilhelm",,,,,Skara Stift: ett statistiskt bidrag. [electronic resource],Skara Stift: ett statistiskt bidrag.,,swe,,"Mariestad, 1855.",Mariestad,1855.0,Mariestad,,,,,lsidyv36f5f6a6,,,
28430,nogenre.xlsx,14896522,|||,ger,,,"Hutzelmann, Christian.","Hutzelmann, Christian",,,,,"Angriffe Frankreichs auf Elsass und Lothringen ... Zweite, durchgesehene Auflage. [electronic resource]","Angriffe Frankreichs auf Elsass und Lothringen... Zweite, durchgesehene Auflage.",,ger,,"Nürnberg, 1873 (Fürth [printed])",Nürnberg,1873.0,Nürnberg,,,,,lsidyv3809b651,,,
23733,nogenre.xlsx,14867574,|||,dut,,,"SCHEVICHAVEN, Herman Diederik Johan van.","Schevichaven, Herman Diederik Johan Van",,,,,Penschetsen uit Nijmegen's Verleden. [electronic resource],Penschetsen uit Nijmegen's Verleden.,,dut,,"Nijmegen, 1898.",Nijmegen,1898.0,Nijmegen,,,,,lsidyv36a3c28d,,,
28062,nogenre.xlsx,14896112,|||,fre,,,"Bormans, Stanislas.","Bormans, Stanislas",,,,,"Carulaire des petites communes. Analyses des pièces, publiées par S. Bormans. [electronic resource]","Carulaire des petites communes. Analyses des pièces, publiées par S. Bormans.",,fre,,"Namur, 1878.",Namur,1878.0,Namur,[Documents inédits relatifs à l'histoire de la province de Namur.],,,,lsidyv37f4f66f,,,
72,drama.xlsx,14807176,|||,und,,,,,,,,,"[The Cheats. A comedy. Written in the year, M.DC.LXII. [By John Wilson.]] [electronic resource]","The Cheats. A comedy. Written in the year, M.DC.LXII.",,eng,The second edition.,"London : For T. Collins & John Ford, 1671.",London,1671.0,London For Collins John Ford,,,"WILSON, John, Recorder of Londonderry.",,lsidyv338f3328,comedy,Drama,
23012,nogenre.xlsx,14866747,|||,ger,,,"GALLOIS, J. G.","Gallois, J. G",,,,,Geschichte der Stadt Hamburg. [electronic resource],Geschichte der Stadt Hamburg.,,ger,,"Hamburg, 1867.",Hamburg,1867.0,Hamburg,,,,,lsidyv3683cf0f,,,
43502,poetry.xls,14827544,|||,und,,,,,,,,,"Poems, by the author of Uriel [i.e. Thomas Jones.] Second edition. [electronic resource]","Poems, by the author of Uriel Second edition.",,eng,,"London, 1858.",London,1858.0,London,,,"JONES, Thomas, of Rhosllanerchrugog Hall, Denbighshire.",,lsidyv33935b67,poet,Poetry,
22192,nogenre.xlsx,14862057,|||,ger,,,"METTINGH, Friedrich von, Baron.","Mettingh, Friedrich Von",Baron,,,,Klio. Tagebuch aus Italien mit Bezug auf Kunst und Geschichte. [electronic resource],Klio. Tagebuch aus Italien mit Bezug auf Kunst und Geschichte.,,ger,,"Nürnberg, 1878.",Nürnberg,1878.0,Nürnberg,,,,,lsidyv363fca61,,,
32823,poetry.xls,14602958,|||,und,,,,,,,,,"The Old Hag in a Red Cloak. A romance. [In verse, by G. Watson.] Inscribed to [and a parody of the style of] the author of The Grim White Woman [M. G. Lewis]. [electronic resource]",The Old Hag in a Red Cloak. A romance. Inscribed to the author of The Grim White Woman,,eng,,"London : For private circulation, 1801.",London,1801.0,London For,,,"Lewis, M. G. (Matthew Gregory), 1775-1818. -- WATSON, afterwards TAYLOR, George.",,lsidyv2eb3129c,parod,Prose,
27284,nogenre.xlsx,14891078,|||,fre,,,"CARDEVACQUE, Adolphe de.","Cardevacque, Adolphe De",,,,,Les Députés du Pas-de-Calais à la Convention. [electronic resource],Les Députés du Pas-de-Calais à la Convention.,,fre,,"Abbeville, 1896.",Abbeville,1896.0,Abbeville,,,,,lsidyv37b5e21a,,,
48545,poetry.xls,14939861,|||,und,,,"RICHARDS, Gertrude Moore.","Richards, Gertrude Moore",,,,,"High Tide. Songs of joy and vision from the present-day poets of Great Britain and America, etc. [electronic resource]","High Tide. Songs of joy and vision from the present-day poets of Great Britain and America, etc.",,eng,,"pp. 219. Duckworth & Co.: London, 1922.",London,1922.0,Duckworth London,,,,,lsidyv38653626,poet,Poetry,
14349,nogenre.xlsx,14827153,|||,eng,,,,,,,,,"Eight Weeks in Germany; comprising narratives, descriptions and directions for economical tourists. By the Pedestrian [John Aiton]. [electronic resource]","Eight Weeks in Germany; comprising narratives, descriptions and directions for economical tourists.",By the Pedestrian,eng,,"Edinburgh : W. Whyte and Co., 1842.",Edinburgh,1842.0,Edinburgh Whyte,,,"AITON, John.",,lsidyv3cddc8f5,,,
26932,nogenre.xlsx,14885494,|||,fre,,,"LÉPINE, Frédéric.","Lépine, Frédéric",,,,,Les Fastes de la Bourgogne. [electronic resource],Les Fastes de la Bourgogne.,,fre,,"[Paris], 1882.",,1882.0,,,,,,lsidyv3779370c,,,
47041,poetry.xls,14871614,|||,eng,,,"DUNCOMBE, John, Vicar of Herne, Canterbury.","Duncombe, John","Vicar of Herne, Canterbury",,,,The Feminiad: a poem. [electronic resource],The Feminiad: a poem.,,eng,,"London, 1754.",London,1754.0,London,,,,,lsidyv37069dd9,poet,Poetry,
849,drama.xlsx,14814913,|||,eng,,,"KELLY, William, of Leicester.","Kelly, William, Of Leicester",,,,,"Notices illustrative of the drama and other popular amusements, chiefly in the sixteenth and seventeenth centuries, incidentally illustrating Shakespeare and his contemporaries; extracted from the Chamberlain's accounts and other manuscripts of the borough of Leicester. With an introduction and notes by W. Kelly. [electronic resource]","Notices illustrative of the drama and other popular amusements, chiefly in the sixteenth and seventeenth centuries, incidentally illustrating Shakespeare and his contemporaries; extracted from the Chamberlain's accounts and other manuscripts of the borough of Leicester. With an introduction and notes by W. Kelly.",,eng,,"London : J. Russell Smith, 1865.",London,1865.0,London Russell Smith,,,"Shakespeare, William, 1564-1616",,lsidyv3c4ca849 -- lsidyv3c10f50b,play,Drama,
38790,poetry.xls,14813128,|||,eng,,,,,,,,,"The history of Henry County, Iowa. ... Illustrated. [electronic resource]","The history of Henry County, Iowa.... Illustrated.",,eng,,"Chicago : Western Historical Company, 1879.",Chicago,1879.0,Chicago Western Historical Company,,,,,lsidyv2f0b6650,story,Prose,
