,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
9024,nogenre.xlsx,14811056,|||,eng,,,"Fortune, Robert, 1813-1880.","Fortune, Robert",,1813-1880,,,"Three years' wanderings in the Northern Provinces of China, including a visit to the tea, silk, and cotton countries: with an account of the agriculture and horticulture of the Chinese, new plants, etc. [electronic resource]","Three years' wanderings in the Northern Provinces of China, including a visit to the tea, silk, and cotton countries: with an account of the agriculture and horticulture of the Chinese, new plants, etc.",,eng,,"London, 1847.",London,1847.0,London,,,,,lsidyv3c1f1753,,,
18670,nogenre.xlsx,14841055,|||,fre,,,"RATOIN, Emmanuel.","Ratoin, Emmanuel",,,,,Nos nouvelles colonies. Le Congo. [electronic resource],Nos nouvelles colonies. Le Congo.,,fre,,"Tours, 1890.",Tours,1890.0,Tours,,,,,lsidyv350ccc70,,,
36014,poetry.xls,14806251,|||,und,,,"Buchanan, Robert Williams, 1841-1901.","Buchanan, Robert Williams",,1841-1901,,,The Rev. Annabel Lee. A tale of to-morrow. [electronic resource],The Rev. Annabel Lee. A tale of to-morrow.,,eng,,"London : C. A. Pearson, 1898.",London,1898.0,London Pearson,,,,,lsidyv39a75b0c,tale,Prose,
7258,nogenre.xlsx,14807648,|||,eng,,,"Collier, John, of High Wycombe.","Collier, John, Of High Wycombe",,,,,"Essays on the Progress of the Vital Principle from the Vegetable to the Animal Kingdoms and the Soul of Man, introductory to contemplations on Deity. MS. notes [by the author]. [electronic resource]","Essays on the Progress of the Vital Principle from the Vegetable to the Animal Kingdoms and the Soul of Man, introductory to contemplations on Deity. MS. notes",,eng,,"London : Printed for the Author, 1800.",London,1800.0,London Printed Author,,,,,lsidyv3ca2a593,,,
26100,nogenre.xlsx,14879898,|||,eng,,,"Kidder, Daniel P. (Daniel Parish), 1815-1891.","Kidder, Daniel P., Daniel Parish",,1815-1891,,,[Brazil and the Brazilians ... in historical and descriptive sketches ... Engravings.] [electronic resource],Brazil and the Brazilians... in historical and descriptive sketches... Engravings.,,eng,"Ninth edition revised, etc.","London, 1879.",London,1879.0,London,,,"FLETCHER, James C.",,lsidyv37563298,,,
4408,nogenre.xlsx,14768156,|||,eng,,,"SHEARDOWN, William.","Sheardown, William",,,,,"Doncaster in 1865; its vital statistics, town improvements, markets, railway system, etc. [electronic resource]","Doncaster in 1865; its vital statistics, town improvements, markets, railway system, etc.",,eng,,"Doncaster, [1865]",Doncaster,1865.0,Doncaster,,,,,lsidyv3c4c7c52,,,
7277,nogenre.xlsx,14807682,|||,und,,,"COLLINS, Edward James Mortimer.","Collins, Edward James Mortimer",,,,,Transmigration. [electronic resource],Transmigration.,,eng,,"London : Hurst & Blackett, 1874.",London,1874.0,London Hurst Blackett,,,,,lsidyv319228dc -- lsidyv31928d8a -- lsidyv3a568f37,,,
2210,music.xlsx,14616971,|||,und,,,"PAUL, G. Henry Howard.","Paul, G. Henry Howard",,,,,The Songs introduced in Howard Paul's ... Entertainment “Patch Work.” Fifth edition. [electronic resource],The Songs introduced in Howard Paul's... Entertainment “Patch Work.” Fifth edition.,,eng,,"London : R. Cocks & Co., [1856?].",London,1856.0,London Cocks,,,,,lsidyv3492e07c,song,Music,
20821,nogenre.xlsx,14860517,|||,ger,,,"HELLWALD, Friedrich Anton Heller von, Baron.","Hellwald, Friedrich Anton Heller Von",Baron,,,,"Frankreich. Das Land und seine Leute, etc. [electronic resource]","Frankreich. Das Land und seine Leute, etc.",,ger,,"Leipzig, [1887]",Leipzig,1887.0,Leipzig,,,,,lsidyv3618a3e9,,,
49391,poetry.xls,15742781,|||,eng,,,"Duffy, Charles Gavan, Sir, 1816-1903.","Duffy, Charles Gavan",Sir,1816-1903,,,The League of North and South. An episode in Irish history. 1850-1854. [electronic resource],The League of North and South. An episode in Irish history. 1850-1854.,,eng,,"London : Chapman & Hall, 1886.",London,1886.0,London Chapman Hall,,,,,lsidyv38a2628a,ode,Poetry,
38707,poetry.xls,14812938,|||,und,,,"HAWKINS, Thomas, F.G.S.","Hawkins, Thomas, F.G.S",,,,,Prometheus. [A poem.] [electronic resource],Prometheus.,,eng,,"London, 1850.",London,1850.0,London,,,,,lsidyv34ec935c,poet,Poetry,
16311,nogenre.xlsx,14831192,|||,eng,,,"TURTON, Zouch Horace.","Turton, Zouch Horace",,,,,"To the Desert and back; or, travels in Spain, the Barbary States, Italy, ... in 1875-6. [electronic resource]","To the Desert and back; or, travels in Spain, the Barbary States, Italy,... in 1875-6.",,eng,,"London, 1876.",London,1876.0,London,,,,,lsidyv32d4baff,,,
5545,nogenre.xlsx,14804642,|||,und,,,"Barlow, Jane.","Barlow, Jane",,,,,Strangers at Lisconnel. A second series of Irish Idylls. [electronic resource],Strangers at Lisconnel. A second series of Irish Idylls.,,eng,,"London : Hodder & Stoughton, 1895.",London,1895.0,London Hodder Stoughton,,,,,lsidyv3a249dd6,,,
43715,poetry.xls,14828017,|||,und,,,"RATTRAY, Robert Haldane.","Rattray, Robert Haldane",,,,,[The Exile ... and other poems.] [electronic resource],The Exile... and other poems.,,eng,[Another edition.],"Calcutta : Bishop’s College Press, 1844.",Calcutta,1844.0,Calcutta Bishop’s College Press,,English poetry,,,lsidyv2ebbcf1f,poet,Poetry,
42210,poetry.xls,14824110,|||,und,,,"SMART, Hawley.","Smart, Hawley",,,,,Hard Lines. A novel. [electronic resource],Hard Lines. A novel.,,eng,,"London; Bungay [printed] : Chapman & Hall, 1883.",London,1883.0,London Bungay Chapman Hall,,,,,lsidyv3af4dfba -- lsidyv3b0bcc78 -- lsidyv3b0bc558,lines,Poetry,
48831,poetry.xls,15111161,|||,eng,,,"GNEIST, Heinrich Rudolph von.","Gneist, Heinrich Rudolph Von",,,,,"The Student's History of the English Parliament ... New English edition, rewritten, with a complete Index, by ... A. H. Keane. [electronic resource]","The Student's History of the English Parliament... New English edition, rewritten, with a complete Index, by... A. H. Keane.",,eng,,"London : Grevel & Co., 1887.",London,1887.0,London Grevel,,,"KEANE, Augustus Henry.",,lsidyv38b25c50,story,Prose,
17983,nogenre.xlsx,14840209,|||,fre,,,"HANLY, Baron Henry.",Hanly,Baron Henry,,,,Notes sur l'Égypte et la Tunisie. [electronic resource],Notes sur l'Égypte et la Tunisie.,,fre,,"Constantinople, 1876.",Constantinople,1876.0,Constantinople,,,,,lsidyv35b50bc8,,,
16063,nogenre.xlsx,14830725,|||,eng,,,"Thackeray, William Makepeace, 1811-1863","Thackeray, William Makepeace",,1811-1863,,,"Notes of a Journey from Cornhill to Grand Cairo, by way of Lisbon, Athens, Constantinople and Jerusalem ... By Mr. M. A. Titmarsh. [electronic resource]","Notes of a Journey from Cornhill to Grand Cairo, by way of Lisbon, Athens, Constantinople and Jerusalem...",By Mr. M. A. Titmarsh.,eng,,"London : Chapman & Hall, 1846.",London,1846.0,London Chapman Hall,,,,,lsidyv38efb41a,,,
14611,nogenre.xlsx,14827743,|||,und,,,,,,,,,"The Priest's Niece; or, the Heirship of Barnulph. By the author of 'Lionel Deerhurst' [B. Hemphill]. [electronic resource]","The Priest's Niece; or, the Heirship of Barnulph.",By the author of 'Lionel Deerhurst',eng,,"London, 1855.",London,1855.0,London,,,,,lsidyv2af7dc13,,,
28073,nogenre.xlsx,14896124,|||,fre,,,"BOUTARIC, Edgard Paul.","Boutaric, Edgard Paul",,,,,"Saint Louis et Alfonse de Poitiers. Étude sur la réunion des provinces du Midi & de l'Ouest à la couronne, et sur les origines de la centralisation administrative, d'après des documents inédits. [electronic resource]","Saint Louis et Alfonse de Poitiers. Étude sur la réunion des provinces du Midi & de l'Ouest à la couronne, et sur les origines de la centralisation administrative, d'après des documents inédits.",,fre,,"Paris, 1870.",Paris,1870.0,Paris,,,,,lsidyv38098bc9,,,
28976,nogenre.xlsx,14897114,|||,fre,,,"THONISSEN, Jean Joseph.","Thonissen, Jean Joseph",,,,,"La Belgique sous le règne de Leopold 1er ... Seconde édition, soigneusement revue, continuée jusqu'à l'avénement du ministère de mil huit cont cinquante-sept, etc. [electronic resource]","La Belgique sous le règne de Leopold 1er... Seconde édition, soigneusement revue, continuée jusqu'à l'avénement du ministère de mil huit cont cinquante-sept, etc.",,fre,,"Louvain, 1861.",Louvain,1861.0,Louvain,,,,,lsidyv37e28811 -- lsidyv37fc2fa7 -- lsidyv37e22bfd,,,
16483,nogenre.xlsx,14831534,|||,eng,,,,,,,,Wales.,"The Pictorial Itinerary, an illustrated guide to the railways and coach-roads of North Wales, etc. [electronic resource]","The Pictorial Itinerary, an illustrated guide to the railways and coach-roads of North Wales, etc.",,eng,,"London : Hodder & Stoughton, 1884 (Oswestry printed)",London,1884.0,London Hodder Stoughton,,,,,lsidyv2b3078cc,,,
879,drama.xlsx,14816526,|||,und,,,,,,,,,The Conduct of Man. A dramatic epistolary poem. [electronic resource],The Conduct of Man. A dramatic epistolary poem.,,eng,,"London : C. Chapple, 1812.",London,1812.0,London Chapple,,,,,lsidyv2eb6437f,play,Drama,
27719,nogenre.xlsx,14891604,|||,fre,,,"R***, Michel de.","R***, Michel De",,,,,Jean Chouan et la Chouannerie. [The preface signed: Michel de R***.] [electronic resource],Jean Chouan et la Chouannerie.,,fre,,"Abbeville, [1897?]",Abbeville,1897.0,Abbeville,,,"COTTEREAU, Jean, called Jean Chouan.",,lsidyv37b9e1d7,,,
41642,poetry.xls,14823122,|||,und,,,"Murray, David Christie, 1847-1907.","Murray, David Christie",,1847-1907,,,John Vale's Guardian. [A novel.] [electronic resource],John Vale's Guardian.,,eng,,"London : Macmillan & Co., 1890.",London,1890.0,London Macmillan,,,,,lsidyv3cc94a83 -- lsidyv3b6b58a6 -- lsidyv3b6b4d43,novel,Prose,
