,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
42647,poetry.xls,14824866,|||,und,,,"WOOD, Emma Carolina, Lady.","Wood, Emma Carolina",Lady,,,,Sorrow on the Sea. A novel. [electronic resource],Sorrow on the Sea. A novel.,,eng,,"London : Tinsley Brothers, 1868.",London,1868.0,London Tinsley Brothers,,,,,lsidyv3a7fefeb -- lsidyv3a7fe93a -- lsidyv3a7fe202,novel,Prose,
25043,nogenre.xlsx,14872290,|||,eng,,,"MANGLES, James.","Mangles, James",,,,,"Papers and Despatches relating to the Arctic Searching Expeditions of 1850-51-52. ... Collected and arranged by J. M. Second edition, with copious additions. [electronic resource]","Papers and Despatches relating to the Arctic Searching Expeditions of 1850-51-52.... Collected and arranged by J. M. Second edition, with copious additions.",,eng,,"London, 1852.",London,1852.0,London,,,,,lsidyv372a3379,,,
46958,poetry.xls,14871171,|||,eng,,,"Barber, John Warner, 1798-1885.","Barber, John Warner",,1798-1885,,,"Connecticut Historical Collections, containing a general collection of interesting facts ... relating to the history and antiquities of every town in Connecticut, with geographical descriptions ... Second edition. [With plates.] [electronic resource]","Connecticut Historical Collections, containing a general collection of interesting facts... relating to the history and antiquities of every town in Connecticut, with geographical descriptions... Second edition.",,eng,,"New Haven : Durrie & Peck, [1837]",New-Haven,1837.0,New-Haven Durrie Peck,,,,,lsidyv3710b1cf -- lsidyv3757f1de,story,Prose,
32601,nogenre.xlsx,15742816,|||,eng,,,"GEIKIE, John Cunningham.","Geikie, John Cunningham",,,,,"[The Holy Land and the Bible. A book of Scripture illustrations gathered in Palestine, etc.] [electronic resource]","The Holy Land and the Bible. A book of Scripture illustrations gathered in Palestine, etc.",,eng,[Another edition.],"London : Cassell & Co., [1897]",London,1897.0,London Cassell,,,"HARPER, Henry Andrew.",,lsidyv3e6e0d66,,,
18461,nogenre.xlsx,14840799,|||,spa,,,"MÓROS Y MORELLON, José de.","Móros Y Morellon, José De",,,,,"Memorias sobre las islas africanes de España, Fernando Póo y Annobon ... Sus autores Don J. de Móros y Morellon ... y ... J. M. de los Rios. [electronic resource]","Memorias sobre las islas africanes de España, Fernando Póo y Annobon... Sus autores Don J. de Móros y Morellon... y... J. M. de los Rios.",,spa,,"Madrid, 1844.",Madrid,1844.0,Madrid,,,,,lsidyv350c6d34,,,
11109,nogenre.xlsx,14815260,|||,eng,,,"KNIGHT, Edward Frederick.","Knight, Edward Frederick",,,,,"The “Falcon” on the Baltic. A coasting voyage from Hammersmith to Copenhagen in a three-ton yacht ... With map and illustrations, etc. [electronic resource]","The “Falcon” on the Baltic. A coasting voyage from Hammersmith to Copenhagen in a three-ton yacht... With map and illustrations, etc.",,eng,,"London : W. H. Allen & Co., 1889.",London,1889.0,London Allen,,,,,lsidyv3c6126c4,,,
38480,poetry.xls,14812414,|||,und,,,"GWYER, Joseph.","Gwyer, Joseph",,,,,"Sketches of the life of J. G. [by himself]. ... With his poems, etc. [electronic resource]","Sketches of the life of J. G.... With his poems, etc.",,eng,,"Penge, Sydenham [printed], 1875.",Penge,1875.0,Penge Sydenham,,,,,lsidyv352b9eed,poet,Poetry,
10670,nogenre.xlsx,14814371,|||,und,,,"JAMES, Charles Thomas Clement.","James, Charles Thomas Clement",,,,,An Early Frost and An Awkward Affair. [electronic resource],An Early Frost and An Awkward Affair.,,eng,,"London : Ward & Downey, 1890.",London,1890.0,London Ward Downey,,,,,lsidyv39a105bd,,,
38174,poetry.xls,14811783,|||,und,,,"GODFREY, Hal, pseud. [i.e. Charlotte O'Conor Eccles.]","Godfrey, Hal",,,Charlotte O'Conor Eccles,,The Rejuvenation of Miss Semaphore: a farcical novel. [electronic resource],The Rejuvenation of Miss Semaphore: a farcical novel.,,eng,,"London : Jarrold & Sons, 1897.",London,1897.0,London Jarrold Sons,,,,,lsidyv39bf2dd9,novel,Prose,
9265,nogenre.xlsx,14811523,|||,eng,,,,,,,,,The Useful Geography. [electronic resource],The Useful Geography.,,eng,,"London, [1858]",London,1858.0,London,,,,,lsidyv3ca3a671,,,
